DATE,Time (hour),pH,N (mg/kg),P (mg/kg),K (mg/kg)
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5.2,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,21,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
11/1/2024,22,6.6,53,5,18
